GeneSymbol,log2FoldChange,padj,DE
A130051J06Rik,0.047415778008150916,0.9234391746016095,NO
A230005M16Rik,0.14729610018946457,0.8523105982922293,NO
A230020J21Rik,0.06021792534762189,0.9283751760853318,NO
A230056P14Rik,0.3556022009664033,0.5377702027032377,NO
A230060F14Rik,0.19965757397218936,0.8136579620105112,NO
A230072C01Rik,0.051624161046237425,0.9044621687284948,NO
A230072E10Rik,-0.41514746420789056,0.6249783848699437,NO
A230087F16Rik,0.2537904286355234,0.6014400878591897,NO
A230103J11Rik,0.12585852241075368,0.8456074230529852,NO
A330035P11Rik,-0.1592042023150643,0.7290980226873932,NO
A330041J22Rik,0.22565488850611895,0.738885214668824,NO
A330069E16Rik,-0.32457676016889553,0.588018480869948,NO
A430005L14Rik,0.029591770202103747,0.8998910964597056,NO
A430033K04Rik,-0.10684152823221853,0.7928041587006747,NO
A430057M04Rik,-0.022655365985483004,0.970921706283325,NO
A430088P11Rik,0.09654190783740589,0.8737522181801551,NO
A430103D13Rik,0.031079498897601757,0.9701161775649007,NO
A530013C23Rik,-0.5399873386458515,0.255343079115934,NO
A530017D24Rik,-0.12185060231813942,0.7237013953592143,NO
A530072M11Rik,-0.37370725606852073,0.07036621488860989,NO
A530083I20Rik,0.42829408462236995,0.6595079769852861,NO
A530084C06Rik,-0.14607546917197062,0.8758034178963695,NO
A630052C17Rik,0.08754449765079539,0.8530962799321524,NO
A630066F11Rik,0.356490871738292,0.5481409855682425,NO
A630072L19Rik,0.3666778413815598,0.6710432704282155,NO
A630072M18Rik,-0.4947880706499657,0.16670664717912284,NO
A630089N07Rik,-0.13135804379289379,0.798932156141838,NO
A630095N17Rik,-0.6145314478275589,0.3356349782970301,NO
A730011C13Rik,-0.4514402115699553,0.4546508344677365,NO
A730017L22Rik,-0.3213002267037604,0.13760574626523847,NO
A730020E08Rik,-0.11288198781242283,0.8379866917019076,NO
A730071L15Rik,0.23211033882673462,0.7891723253659331,NO
A730081D07Rik,-0.052098151453478334,0.9529080373111158,NO
A730085K08Rik,0.08518891281818988,0.9315175357512846,NO
A830035O19Rik,0.319886877326594,0.3559567349654017,NO
A830052D11Rik,0.30420735584802583,0.7010549380293571,NO
A830082N09Rik,-0.7964935392315855,0.11544763922660707,NO
A930001C03Rik,-0.3693998169329973,0.1246979325220742,NO
A930004D18Rik,-0.05979534281318689,0.8519756839906846,NO
A930004J17Rik,-0.39885600978872854,0.01983118800665668,DOWN
A930005H10Rik,-0.15539448935108718,0.6924908896684596,NO
A930005N03Rik,0.25061788311705696,0.806940808339963,NO
A930007A09Rik,-0.07354499099488808,0.8556355849920688,NO
A930007I19Rik,0.05578292379846639,0.9431020948105727,NO
A930012L18Rik,0.21879514696503521,0.6137997674547815,NO
A930012O16Rik,0.03223553392156712,0.9706515303312399,NO
A930015D03Rik,-0.05434753831607379,0.860775017543166,NO
A930024E05Rik,-0.9672531043778559,0.028744395934561733,DOWN
A930035D04Rik,0.3400050302748134,0.5889208309970958,NO
A930037H05Rik,0.029059850075082463,0.9645995525652477,NO
AA467197,0.028882245431914966,0.9797389228747393,NO
AA986860,-0.25060262319556575,0.18624274358389104,NO
Aaas,-0.12178842279290865,0.3441673493983864,NO
Aacs,0.06453214813653098,0.536859513552482,NO
Aadac,-1.4770787790341704,2.2001968792604907e-5,DOWN
Aadacl2,-1.1952656079279207,8.165272610015635e-4,DOWN
Aadacl2fm1,-0.7258293318051352,0.24000259209033023,NO
Aagab,0.07290202110834966,0.45780041024344564,NO
Aak1,0.026020855928285895,0.8444958874333193,NO
Aamdc,-0.032363293743558015,0.9168602770816399,NO
Aamp,-0.04126241272718644,0.6669281881150114,NO
Aar2,-0.050244750055338634,0.6401136240287562,NO
Aars,0.14350199682663234,0.0021669935194812457,UP
Aars2,0.007517435434517328,0.9760934566640581,NO
Aasdh,-0.3271570327245656,0.006193181095615926,DOWN
